2025-12-11T16:44:14Z	230	1559.9301	1540.3351	1559.937
2025-12-11T16:44:14Z	230	1559.93366	1540.39292	1559.958
2025-12-11T16:44:15Z	230	1559.93403	1540.46565	1559.961
2025-12-11T16:44:15Z	230	1559.94029	1540.57864	1559.957
2025-12-11T16:44:15Z	231	1559.94039	1540.49725	1559.982
2025-12-11T16:44:15Z	231	1559.93216	1540.39647	1559.978
2025-12-11T16:44:16Z	231	1559.92842	1540.3412	1559.968
2025-12-11T16:44:16Z	231	1559.92823	1540.29599	1559.969
2025-12-11T16:44:16Z	232	1559.9266	1540.27113	1559.969
2025-12-11T16:44:16Z	232	1559.92856	1540.24321	1559.953
2025-12-11T16:44:17Z	232	1559.92484	1540.23931	1559.973
2025-12-11T16:44:17Z	232	1559.92497	1540.2326	1559.974
2025-12-11T16:44:17Z	233	1559.92827	1540.23406	1559.970
2025-12-11T16:44:18Z	233	1559.9275	1540.31232	1559.929
2025-12-11T16:44:18Z	233	1559.93048	1540.38616	1559.950
2025-12-11T16:44:18Z	234	1559.93557	1540.4214	1559.955
2025-12-11T16:44:18Z	234	1559.93611	1540.48749	1559.984
2025-12-11T16:44:19Z	234	1559.9374	1540.52524	1559.953
2025-12-11T16:44:19Z	235	1559.93724	1540.40191	1559.969
2025-12-11T16:44:19Z	235	1559.93015	1540.31344	1559.959
2025-12-11T16:44:20Z	235	1559.929	1540.26808	1559.958
2025-12-11T16:44:20Z	235	1559.92913	1540.23875	1559.968
2025-12-11T16:44:20Z	236	1559.92655	1540.23307	1559.948
2025-12-11T16:44:20Z	236	1559.92673	1540.23148	1559.957
2025-12-11T16:44:21Z	236	1559.92947	1540.22867	1559.955
2025-12-11T16:44:21Z	237	1559.92769	1540.26455	1559.967
2025-12-11T16:44:21Z	237	1559.93014	1540.33549	1559.942
2025-12-11T16:44:22Z	237	1559.93371	1540.39439	1559.947
2025-12-11T16:44:22Z	237	1559.93579	1540.44649	1559.944
2025-12-11T16:44:22Z	238	1559.93782	1540.47368	1559.952
2025-12-11T16:44:22Z	238	1559.93628	1540.39508	1559.945
2025-12-11T16:44:23Z	238	1559.93093	1540.31901	1559.979
2025-12-11T16:44:23Z	238	1559.92893	1540.26667	1559.969
2025-12-11T16:44:23Z	239	1559.92977	1540.24183	1559.941
2025-12-11T16:44:24Z	239	1559.92642	1540.23033	1559.954
2025-12-11T16:44:24Z	239	1559.92661	1540.22855	1559.964
2025-12-11T16:44:24Z	240	1559.9289	1540.22897	1559.959
